,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
Total Liabilities,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408899000.0,406377000.0,444079000.0,403524000.0,391398000.0,435433000.0,410556000.0,422700000.0,408057000.0,442601000.0,454356000.0,427123000.0,473173000.0,448406000.0,429895000.0,464185000.0,523423000.0,517605000.0,508492000.0,490988000.0,529837000.0,468675000.0,487182000.0,466266000.0,470750000.0,525532000.0,532193000.0,788207000.0,1786317000.0,1827999000.0,1793797000.0,1744156000.0,1939735000.0,1866630000.0,1856200000.0,1733578000.0,1769653000.0,1634937000.0,1700283000.0,1602238000.0,1670951000.0,1741491000.0,1787866000.0,1573562000.0,,
Revenue,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558572000.0,512218000.0,592734000.0,594254000.0,601362000.0,562063000.0,632976000.0,572267000.0,598947000.0,587096000.0,669872000.0,640177000.0,655486000.0,627206000.0,665520000.0,672036000.0,681267000.0,658944000.0,696616000.0,674617000.0,692038000.0,683012000.0,710992000.0,713752000.0,712102000.0,795268000.0,833003000.0,837545000.0,878515000.0,860198000.0,924354000.0,829620000.0,482783000.0,489714000.0,652870000.0,609352000.0,703155000.0,817335000.0,853467000.0,822626000.0,830543000.0,859319000.0,865020000.0,760546000.0,,
Cost of Revenue,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-365982000.0,-351973000.0,-392563000.0,-422540000.0,-418365000.0,-378621000.0,-420106000.0,-412289000.0,-410942000.0,-415192000.0,-451315000.0,-463622000.0,-442428000.0,-435904000.0,-466554000.0,-506993000.0,-476910000.0,-472083000.0,-484836000.0,-505782000.0,-493734000.0,-482424000.0,-500924000.0,-533336000.0,-505212000.0,-539240000.0,-561257000.0,-633520000.0,-613956000.0,-594779000.0,-660518000.0,-623764000.0,-509243000.0,-452672000.0,-487214000.0,-474349000.0,-487044000.0,-532654000.0,-539850000.0,-568398000.0,-554798000.0,-563649000.0,-579201000.0,-538555000.0,,
Operating Expenses,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121923000.0,-112118000.0,-121734000.0,-126022000.0,-128711000.0,-129461000.0,-124614000.0,-115077000.0,-126754000.0,-118582000.0,-138720000.0,-128480000.0,-139486000.0,-131721000.0,-135637000.0,-147974000.0,-154196000.0,-145088000.0,-147412000.0,-145120000.0,-156568000.0,-152554000.0,-155175000.0,-143426000.0,-168420000.0,-195319000.0,-225820000.0,-230663000.0,-222806000.0,-226616000.0,-205566000.0,-219761000.0,-187221000.0,-168424000.0,-196067000.0,-201566000.0,-200814000.0,-224385000.0,-211909000.0,-233574000.0,-223426000.0,-228690000.0,-222232000.0,-222034000.0,,
Net Income,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39860000.0,29318000.0,50115000.0,27146000.0,34515000.0,33720000.0,54961000.0,28106000.0,38639000.0,34328000.0,49554000.0,30778000.0,47366000.0,37610000.0,39295000.0,11763000.0,30014000.0,25032000.0,38963000.0,30526000.0,22818000.0,28677000.0,4005000.0,11804000.0,24297000.0,-38356000.0,39319000.0,-45726000.0,31194000.0,27407000.0,43460000.0,-7564000.0,-215858000.0,-98214000.0,-40643000.0,-134004000.0,17026000.0,42860000.0,80184000.0,14411000.0,26182000.0,46213000.0,45171000.0,45110000.0,,
Market Capitalization,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478984380.0,2638998560.0,2797969600.0,2994695717.16,2976231789.6,3421827954.2,3974808750.72,3415752726.6,3031509586.77,2410789795.2,2642419830.35,3137347390.52,3206345291.37,2883841372.68,2213265009.9,2079509029.22,2012727004.47,1989726937.24,1669243360.0,1696608800.0,1653595661.12,1449387720.0,1531770200.0,1602365588.46,1785461564.3,2200781982.0,2131800602.4,2189519215.25,1745121122.5,1382780885.8,1198632880.5,1021698924.8,457353714.45,426154338.03,313162560.61,886812743.25,1281516249.6,1061672190.0,987685223.91,963925470.0,1011499620.0,1052278890.0,978451350.0,662365950.0,,
Enterprise Value,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535766560.61,1162050743.25,1569602249.6,1262283190.0,1132538223.91,,,,,,,
EV/MC,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.31,1.22,1.19,1.15,,,,,,,
EBIT,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046477000.0,976309000.0,1107031000.0,1142816000.0,1148438000.0,1070145000.0,1177696000.0,1099633000.0,1136643000.0,1120870000.0,1259907000.0,1232279000.0,1237400000.0,1194831000.0,1267711000.0,1327003000.0,1312373000.0,1276115000.0,1328864000.0,1325519000.0,1342340000.0,1317990000.0,1367091000.0,1390514000.0,1385734000.0,1529827000.0,1620080000.0,1701728000.0,1715277000.0,1681593000.0,1790438000.0,1673145000.0,1179247000.0,1110810000.0,1336151000.0,1285267000.0,1391013000.0,1574374000.0,1605226000.0,1624598000.0,1608767000.0,1651658000.0,1666453000.0,1521135000.0,,
EV/EBIT,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.9,1.13,0.8,0.71,,,,,,,
Netto Debt,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62500002.4,62500004.57,62500005.58,62500003.97,62500001.99,,,,,,,
Net Profit Margin,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,5.72,8.45,4.57,5.74,6.0,8.68,4.91,6.45,5.85,7.4,4.81,7.23,6.0,5.9,1.75,4.41,3.8,5.59,4.52,3.3,4.2,0.56,1.65,3.41,-4.82,4.72,-5.46,3.55,3.19,4.7,-0.91,-44.71,-20.06,-6.23,-21.99,2.42,5.24,9.4,1.75,3.15,5.38,5.22,5.93,,
ROE,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,3.25,5.84,3.16,3.86,3.62,5.6,2.81,3.78,3.46,4.98,3.04,4.52,3.53,3.82,1.3,3.21,2.66,4.22,3.26,2.4,2.93,0.42,1.24,2.53,-4.17,4.17,-5.49,4.09,3.76,5.85,-1.05,-43.34,-24.15,-10.97,-55.14,6.48,13.78,20.37,3.49,6.28,12.8,11.78,10.35,,
Close,CWEN,,,,,30.29,40.01,39.53,52.05,47.05,47.14,50.73,21.89,11.61,14.76,14.24,15.59,16.96,15.8,17.7,17.6,19.3,18.9,17.0,17.2,19.25,17.25,15.11,16.86,18.25,19.95,18.8,23.06,26.96,31.93,28.14,26.48,30.27,36.03,36.51,34.84,31.85,31.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,CWEN,,,,,65250000.0,22511250.0,65250000.0,22511250.0,34586250.0,77325000.0,77325000.0,77325000.0,182848000.0,182848000.0,182848000.0,182848000.0,182848000.0,182848000.0,182853554.0,183277581.0,183793110.0,184780837.0,184794269.0,185407326.0,189193393.0,193251396.0,193400608.0,193402886.0,193402886.0,198819999.0,199406906.0,200678701.0,201482846.0,201635990.0,201818187.0,201836708.0,201846253.0,117000000.0,117000000.0,35000000.0,35000000.0,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,CWEN,,,,58000000.0,147000000.0,214000000.0,71000000.0,119000000.0,157000000.0,224000000.0,218000000.0,407000000.0,224000000.0,264000000.0,242000000.0,251000000.0,281000000.0,323000000.0,296000000.0,298000000.0,300000000.0,339000000.0,698000000.0,651000000.0,873000000.0,535000000.0,1598000000.0,1914000000.0,1965000000.0,1824000000.0,1480000000.0,357000000.0,361000000.0,384000000.0,500000000.0,518000000.0,545000000.0,772000000.0,770000000.0,457000000.0,493000000.0,322000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,CWEN,,,,723000000.0,1020000000.0,1569000000.0,1310000000.0,1880000000.0,3926000000.0,4697000000.0,4719000000.0,4336000000.0,4285000000.0,5329000000.0,4521000000.0,4465000000.0,5359000000.0,5726000000.0,5662000000.0,5597000000.0,5520000000.0,5659000000.0,5261000000.0,5244000000.0,4928000000.0,5447000000.0,4225000000.0,4192000000.0,4143000000.0,4956000000.0,5081000000.0,6377000000.0,6357000000.0,6585000000.0,7463000000.0,7434000000.0,7299000000.0,6939000000.0,6979000000.0,6605000000.0,6519000000.0,6491000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,CWEN,,,,22000000.0,121000000.0,59000000.0,420000000.0,87000000.0,372000000.0,429000000.0,114000000.0,281000000.0,125000000.0,111000000.0,76000000.0,89000000.0,200000000.0,322000000.0,213000000.0,181000000.0,179000000.0,148000000.0,173000000.0,130000000.0,232000000.0,407000000.0,117000000.0,93000000.0,148000000.0,155000000.0,110000000.0,175000000.0,359000000.0,268000000.0,144000000.0,138000000.0,189000000.0,179000000.0,140000000.0,955000000.0,793000000.0,657000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,CWEN,,,,1964000000.0,2331000000.0,3236000000.0,2534000000.0,3236000000.0,5899000000.0,7860000000.0,6595000000.0,7208000000.0,6989000000.0,8689000000.0,7659000000.0,7607000000.0,8482000000.0,8962000000.0,8580000000.0,8513000000.0,8442000000.0,8489000000.0,8362000000.0,8448000000.0,8500000000.0,8500000000.0,8465000000.0,8731000000.0,8838000000.0,9700000000.0,9555000000.0,9736000000.0,9725000000.0,10592000000.0,11848000000.0,11881000000.0,11780000000.0,12813000000.0,12628000000.0,12648000000.0,12596000000.0,12312000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,CWEN,,,,1124000000.0,1340000000.0,1986000000.0,1503000000.0,2163000000.0,4285000000.0,5235000000.0,5254000000.0,5002000000.0,4837000000.0,5951000000.0,5098000000.0,5050000000.0,6014000000.0,6363000000.0,6242000000.0,6177000000.0,6143000000.0,6330000000.0,6236000000.0,6161000000.0,6125000000.0,6276000000.0,6320000000.0,6677000000.0,6792000000.0,7437000000.0,7291000000.0,7504000000.0,7488000000.0,7877000000.0,8853000000.0,8878000000.0,8825000000.0,9513000000.0,9489000000.0,8455000000.0,8480000000.0,8279000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,CWEN,,,,42000000.0,53000000.0,82000000.0,126000000.0,126000000.0,140000000.0,173000000.0,184000000.0,331000000.0,200000000.0,235000000.0,294000000.0,239000000.0,234000000.0,283000000.0,272000000.0,246000000.0,221000000.0,288000000.0,269000000.0,231000000.0,225000000.0,307000000.0,292000000.0,229000000.0,217000000.0,284000000.0,296000000.0,235000000.0,258000000.0,329000000.0,332000000.0,280000000.0,237000000.0,380000000.0,351000000.0,318000000.0,214000000.0,368000000.0,340000000.0,268000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,CWEN,,,,-33000000.0,-29000000.0,-32000000.0,-44000000.0,-43000000.0,-60000000.0,-53000000.0,-60000000.0,-104000000.0,-84000000.0,-75000000.0,-87000000.0,-77000000.0,-85000000.0,-77000000.0,-76000000.0,-70000000.0,-85000000.0,-77000000.0,-79000000.0,-85000000.0,-89000000.0,-74000000.0,-84000000.0,-80000000.0,-84000000.0,-79000000.0,-82000000.0,-92000000.0,-93000000.0,-87000000.0,-95000000.0,-91000000.0,-110000000.0,-107000000.0,-117000000.0,-117000000.0,-128000000.0,-112000000.0,-98000000.0,-97000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,CWEN,,,,-8000000.0,-12000000.0,-12000000.0,-19000000.0,-38000000.0,-24000000.0,-58000000.0,-37000000.0,-122000000.0,-70000000.0,-73000000.0,-88000000.0,-84000000.0,-77000000.0,-78000000.0,-79000000.0,-85000000.0,-81000000.0,-85000000.0,-94000000.0,-93000000.0,-86000000.0,-88000000.0,-90000000.0,-92000000.0,-90000000.0,-96000000.0,-123000000.0,-121000000.0,-111000000.0,-111000000.0,-111000000.0,-129000000.0,-138000000.0,-138000000.0,-141000000.0,-132000000.0,-136000000.0,-137000000.0,-137000000.0,-142000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,CWEN,,,,4000000.0,11000000.0,35000000.0,27000000.0,46000000.0,6000000.0,4000000.0,6000000.0,0.0,-5000000.0,10000000.0,17000000.0,11000000.0,5000000.0,32000000.0,33000000.0,-13000000.0,-3000000.0,28000000.0,29000000.0,-70000000.0,16000000.0,79000000.0,21000000.0,-68000000.0,-20000000.0,-22000000.0,37000000.0,-6000000.0,-29000000.0,47000000.0,32000000.0,-25000000.0,3000000.0,35000000.0,21000000.0,-8000000.0,-32000000.0,570000000.0,32000000.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,CWEN,,,,,1976422500.0,900675112.5,2579332500.0,1171710562.5,1627283062.5,3645100500.0,3922697250.0,1692644250.0,2122865280.0,2698836480.0,2603755520.0,2850600320.0,3101102080.0,2888998400.0,3236507905.8,3225685425.6,3547207023.0,3492357819.3,3141502573.0,3189006007.2,3641972815.25,3333586581.0,2922283186.88,3260772657.96,3529602669.5,3966458980.05,3748849832.8,4627650845.06,5431977528.16,6438237160.7,5679163782.18,5344636027.84,6109886078.31,4215510000.0,4271670000.0,1219400000.0,1114750000.0,1115450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,CWEN,,,,,3022422500.0,2624675112.5,3540332500.0,3083710562.5,5338283062.5,8137100500.0,8745697250.0,6154644250.0,6506865280.0,8180836480.0,7290755520.0,7477600320.0,8541102080.0,8615998400.0,8981507905.8,8939685425.6,9188207023.0,9342357819.3,8927502573.0,8954006007.2,9210972815.25,8908586581.0,8628283186.88,9273772657.96,9489602669.5,10591458980.05,10199849832.8,11186650845.06,11790977528.16,13139237160.7,13498163782.18,13158636027.84,13764886078.31,11747510000.0,11880670000.0,7326400000.0,7333750000.0,7271450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,CWEN,,,,,1.53,2.91,1.37,2.63,3.28,2.23,2.23,3.64,3.07,3.03,2.8,2.62,2.75,2.98,2.78,2.77,2.59,2.68,2.84,2.81,2.53,2.67,2.95,2.84,2.69,2.67,2.72,2.42,2.17,2.04,2.38,2.46,2.25,2.79,2.78,6.01,6.58,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,CWEN,,,,83000000.0,94000000.0,126000000.0,189000000.0,207000000.0,224000000.0,284000000.0,281000000.0,557000000.0,354000000.0,383000000.0,469000000.0,400000000.0,396000000.0,438000000.0,427000000.0,401000000.0,387000000.0,450000000.0,442000000.0,409000000.0,400000000.0,469000000.0,466000000.0,401000000.0,391000000.0,459000000.0,501000000.0,448000000.0,462000000.0,527000000.0,538000000.0,500000000.0,485000000.0,625000000.0,609000000.0,567000000.0,478000000.0,617000000.0,575000000.0,507000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,CWEN,,,,,,,15.99,12.68,15.81,10.86,19.0,14.61,24.71,16.07,13.87,20.45,18.41,17.07,20.0,21.49,23.21,19.87,20.79,22.84,22.32,19.09,19.77,22.22,22.07,20.2,18.94,23.64,22.08,21.23,21.92,26.28,27.83,21.05,22.6,20.72,24.85,11.87,12.75,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,CWEN,,,,58000032.86,147000008.43,214000026.59,71000003.12,119000021.61,157000010.55,224000010.95,218000041.39,407000015.43,224000034.28,264000048.01,242000059.49,251000050.17,281000026.8,323000017.78,296000026.58,298000030.92,300000030.84,339000038.24,698000030.41,651000040.34,873000021.24,535000013.38,1598000036.11,1914000045.08,1965000027.99,1824000031.97,1480000046.19,357000036.44,361000017.71,384000024.57,500000051.83,518000053.87,545000038.62,772000038.77,770000049.85,457000006.92,493000008.22,322000009.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,CWEN,,,,9.52,20.75,42.68,21.43,36.51,4.29,2.31,3.26,0.0,-2.5,4.26,5.78,4.6,2.14,11.31,12.13,-5.28,-1.36,9.72,10.78,-30.3,7.11,25.73,7.19,-29.69,-9.22,-7.75,12.5,-2.55,-11.24,14.29,9.64,-8.93,1.27,9.21,5.98,-2.52,-14.95,154.89,9.41,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,CWEN,,,,0.48,,,2.72,3.68,0.58,0.37,0.37,0.0,-0.37,0.45,0.79,0.4,0.2,1.25,1.34,-0.5,-0.13,1.2,1.26,-3.24,0.75,3.45,0.88,-3.06,-0.93,-1.07,1.81,-0.27,-1.28,2.11,1.43,-0.92,0.1,1.17,0.71,-0.24,-1.02,13.59,0.78,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,FRP,3.76,6.15,7.56,7.95,7.47,8.35,9.55,11.31,13.6,13.97,15.17,14.21,17.6,18.22,15.41,16.07,14.88,14.68,15.03,18.7,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,FRP,26197000.0,26200902.0,26233189.0,26289000.0,26475358.0,26476958.0,26478175.0,26481000.0,26681236.0,26695921.0,26708989.0,26711000.0,26876280.0,26902696.0,26905398.0,26921066.0,27065799.0,27050600.0,27073540.0,27073540.0,27266792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,FRP,11238000.0,11224000.0,11222000.0,11220000.0,7635000.0,7748000.0,7796000.0,7845000.0,7621000.0,7287000.0,7321000.0,7027000.0,7012000.0,7148000.0,7238000.0,7318000.0,7431000.0,7510000.0,7607000.0,7627000.0,7565000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,FRP,989879000.0,987085000.0,961782000.0,948470000.0,915644000.0,914753000.0,913455000.0,912169000.0,911141000.0,910225000.0,910086000.0,903203000.0,902699000.0,902353000.0,901848000.0,901368000.0,900905000.0,900475000.0,900141000.0,899681000.0,899100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,FRP,35795000.0,43770000.0,22080000.0,23203000.0,17478000.0,26982000.0,24740000.0,42700000.0,31703000.0,31919000.0,25227000.0,37587000.0,10316000.0,9148000.0,17033000.0,26560000.0,23064000.0,41116000.0,33071000.0,34924000.0,38747000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,FRP,1929132000.0,1877439000.0,1797998000.0,1732361000.0,1656519000.0,1606448000.0,1592628000.0,1599898000.0,1546399000.0,1524767000.0,1488499000.0,1452371000.0,1400182000.0,1370548000.0,1358151000.0,1322526000.0,1290996000.0,1279256000.0,1248765000.0,1230835000.0,1197869000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,FRP,2078894000.0,2061845000.0,2018689000.0,2050174000.0,2017208000.0,2006939000.0,1999354000.0,1909094000.0,1885213000.0,1885350000.0,1884236000.0,2052655000.0,1372502000.0,1357412000.0,1332748000.0,1324015000.0,1308012000.0,1302942000.0,1289733000.0,1284912000.0,1271887000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,FRP,248474000.0,243453000.0,242052000.0,239670000.0,235469000.0,234500000.0,235989000.0,233396000.0,230557000.0,225597000.0,228120000.0,217122000.0,213974000.0,214098000.0,221569000.0,209824000.0,206816000.0,206557000.0,207141000.0,203929000.0,201907000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,FRP,-121475000.0,-103960000.0,-105502000.0,-119504000.0,-116611000.0,-108163000.0,-107646000.0,-106797000.0,-115566000.0,-101661000.0,-104643000.0,-119109000.0,-134381000.0,-97968000.0,-100718000.0,-97241000.0,-105039000.0,-93302000.0,-95830000.0,-95145000.0,-97806000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,FRP,-181243000.0,-177669000.0,-170869000.0,-175410000.0,-180156000.0,-168208000.0,-132168000.0,-132791000.0,-137105000.0,-133503000.0,-152399000.0,-130684000.0,-104261000.0,-56812000.0,-48422000.0,-50070000.0,-54746000.0,-51059000.0,-33328000.0,-66649000.0,-107744000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,FRP,-46712000.0,-37073000.0,-37329000.0,-32180000.0,-47485000.0,-43108000.0,-8960000.0,6103000.0,-32237000.0,-22680000.0,-37778000.0,-43624000.0,-45213000.0,40265000.0,53054000.0,42310000.0,18568000.0,29315000.0,40207000.0,16005000.0,-23855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,FRP,98500720.0,161135547.3,198322908.84,208997550.0,197770924.26,221082599.3,252866571.25,299500110.0,362864809.6,372942016.37,405175363.13,379563310.0,473022528.0,490167121.12,414612183.18,432621530.62,402739089.12,397102808.0,406915306.2,506275198.0,452628747.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,FRP,1063822720.0,1115674547.3,1149246908.84,1145484550.0,1103571924.26,1116601599.3,1149377571.25,1176814110.0,1249923809.6,1258535016.37,1297355363.13,1252206310.0,1372417528.0,1390520121.12,1306665183.18,1314747530.62,1288011089.12,1263971808.0,1281592306.2,1378659198.0,1320546747.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,FRP,10.8,6.92,5.79,5.48,5.58,5.05,4.55,3.93,3.44,3.37,3.2,3.3,2.9,2.84,3.15,3.04,3.2,3.18,3.15,2.72,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,FRP,551192000.0,525082000.0,518423000.0,534584000.0,532236000.0,510871000.0,475803000.0,472984000.0,483228000.0,460761000.0,485162000.0,466915000.0,452616000.0,368878000.0,370709000.0,357135000.0,366601000.0,350918000.0,336299000.0,365723000.0,407457000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,FRP,1.93,2.12,2.22,2.14,2.07,2.19,2.42,2.49,2.59,2.73,2.67,2.68,3.03,3.77,3.52,3.68,3.51,3.6,3.81,3.77,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,FRP,11238027.65,11224022.55,11222043.56,11220040.88,7635052.39,7748033.9,7796036.92,7845021.36,7621028.74,7287028.52,7321036.08,7027024.03,7012087.5,7148098.64,7238052.95,7318033.94,7431039.06,7510021.9,7607027.22,7627025.76,7565023.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,FRP,-18.8,-15.23,-15.42,-13.43,-20.17,-18.38,-3.8,2.61,-13.98,-10.05,-16.56,-20.09,-21.13,18.81,23.94,20.16,8.98,14.19,19.41,7.85,-11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,FRP,31.19,20.1,16.91,10.13,13.17,10.76,2.2,-1.97,9.51,6.29,9.55,7.27,-163.34,306.52,208.85,-2841.5,-109.12,-123.77,-98.14,-29.6,32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,TSLA,2.48,2.09,1.95,2.26,2.53,7.16,12.89,10.03,13.9,16.0,16.18,14.83,12.58,17.88,16.56,16.0,15.32,14.15,13.6,14.25,18.55,24.11,22.74,20.76,17.74,22.86,17.65,22.19,18.66,14.9,16.06,27.89,34.93,71.99,143.0,235.22,222.64,226.57,258.49,352.26,359.2,224.47,265.25,123.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
